phi0,N,p_ident,true_phi_star,bias,rmse,mc_std,n_reps
0.0,1000,0.5,-0.006012024048096087,-0.013226452905811748,0.27629682295997104,0.2759800632678091,100
0.0,2000,0.5,-0.006012024048096087,0.07983967935871729,0.2355793039367838,0.22163761874563795,100
0.0,5000,0.5,-0.006012024048096087,0.11915831663326638,0.17507691193492728,0.1282701082473875,100
0.0,10000,0.5,-0.006012024048096087,0.12997995991983952,0.1672293958028883,0.10521825335860686,100
0.0,50000,0.5,-0.006012024048096087,0.2016432865731462,0.20657930520096116,0.04488868807719715,100
0.83,1000,0.20326939182806836,-0.006012024048096087,0.25803607214428853,0.39111254674426665,0.293915650643401,100
0.83,2000,0.20326939182806836,-0.006012024048096087,0.29086172344689365,0.3582016197169827,0.20906424419630606,100
0.83,5000,0.20326939182806836,-0.006012024048096087,0.33078156312625234,0.35982453625730343,0.14162363640486214,100
0.83,10000,0.20326939182806836,-0.006012024048096087,0.3370340681362724,0.3511536734449548,0.09857453671917735,100
0.83,50000,0.20326939182806836,-0.006012024048096087,0.421202404809619,0.42288937840024954,0.03773540176469822,100
1.67,1000,0.04745968180294735,-0.006012024048096087,0.5344689378757513,0.6236263010927334,0.32132960937419197,100
1.67,2000,0.04745968180294735,-0.006012024048096087,0.5201603206412824,0.5693815280782902,0.23157842159218353,100
1.67,5000,0.04745968180294735,-0.006012024048096087,0.6335470941883766,0.6500163034063046,0.1453935147778651,100
1.67,10000,0.04745968180294735,-0.006012024048096087,0.6541082164328654,0.6639234702281444,0.11374012271312671,100
1.67,50000,0.04745968180294735,-0.006012024048096087,0.7672545090180358,0.7684683808948358,0.043176044592148355,100
