  phi0     N  p_ident  true_phi_star    bias   rmse  mc_std  n_reps
0.0000  1000   0.5000        -0.0060 -0.0132 0.2763  0.2760     100
0.0000  2000   0.5000        -0.0060  0.0798 0.2356  0.2216     100
0.0000  5000   0.5000        -0.0060  0.1192 0.1751  0.1283     100
0.0000 10000   0.5000        -0.0060  0.1300 0.1672  0.1052     100
0.0000 50000   0.5000        -0.0060  0.2016 0.2066  0.0449     100
0.8300  1000   0.2033        -0.0060  0.2580 0.3911  0.2939     100
0.8300  2000   0.2033        -0.0060  0.2909 0.3582  0.2091     100
0.8300  5000   0.2033        -0.0060  0.3308 0.3598  0.1416     100
0.8300 10000   0.2033        -0.0060  0.3370 0.3512  0.0986     100
0.8300 50000   0.2033        -0.0060  0.4212 0.4229  0.0377     100
1.6700  1000   0.0475        -0.0060  0.5345 0.6236  0.3213     100
1.6700  2000   0.0475        -0.0060  0.5202 0.5694  0.2316     100
1.6700  5000   0.0475        -0.0060  0.6335 0.6500  0.1454     100
1.6700 10000   0.0475        -0.0060  0.6541 0.6639  0.1137     100
1.6700 50000   0.0475        -0.0060  0.7673 0.7685  0.0432     100
