phi0,N,p_ident,true_phi_star,bias,rmse,mc_std,n_reps
0.0,1000,0.5,-0.006012024048096087,0.35603206412825633,1.6035099412069986,1.5634849858128619,100
0.0,2000,0.5,-0.006012024048096087,0.6387174348697393,1.4079354244813218,1.2547199679222532,100
0.0,5000,0.5,-0.006012024048096087,0.3575951903807614,1.0548140310166327,0.9923498978919205,100
0.0,10000,0.5,-0.006012024048096087,0.2718637274549097,0.9606883347986308,0.921418574976915,100
0.0,50000,0.5,-0.006012024048096087,0.11759519038076138,0.6042392239327039,0.5926857607013253,100
0.83,1000,0.20326939182806836,-0.006012024048096087,-0.265370741482966,1.3215916736227376,1.2946748322855932,100
0.83,2000,0.20326939182806836,-0.006012024048096087,-0.4320240480961926,1.110047590778231,1.0225267114648564,100
0.83,5000,0.20326939182806836,-0.006012024048096087,-0.153306613226453,0.7544120050366913,0.7386708033248067,100
0.83,10000,0.20326939182806836,-0.006012024048096087,-0.1441683366733468,0.2790382373479618,0.2389096661985404,100
0.83,50000,0.20326939182806836,-0.006012024048096087,-0.12048096192384787,0.15291828691783624,0.09417186569135182,100
1.67,1000,0.04745968180294735,-0.006012024048096087,-1.37687374749499,2.1363343187780957,1.6334451337734524,100
1.67,2000,0.04745968180294735,-0.006012024048096087,-1.653306613226453,2.216073492230113,1.475655435942498,100
1.67,5000,0.04745968180294735,-0.006012024048096087,-1.4804008016032062,2.0009584010550845,1.3461976041300565,100
1.67,10000,0.04745968180294735,-0.006012024048096087,-1.71498997995992,2.1210778697238846,1.248110851675237,100
1.67,50000,0.04745968180294735,-0.006012024048096087,-1.4368737474949898,1.7183479589282784,0.9423977619416781,100
