  phi0     N  p_ident  true_phi_star    bias   rmse  mc_std  n_reps
0.0000  1000   0.5000        -0.0060  0.3560 1.6035  1.5635     100
0.0000  2000   0.5000        -0.0060  0.6387 1.4079  1.2547     100
0.0000  5000   0.5000        -0.0060  0.3576 1.0548  0.9923     100
0.0000 10000   0.5000        -0.0060  0.2719 0.9607  0.9214     100
0.0000 50000   0.5000        -0.0060  0.1176 0.6042  0.5927     100
0.8300  1000   0.2033        -0.0060 -0.2654 1.3216  1.2947     100
0.8300  2000   0.2033        -0.0060 -0.4320 1.1100  1.0225     100
0.8300  5000   0.2033        -0.0060 -0.1533 0.7544  0.7387     100
0.8300 10000   0.2033        -0.0060 -0.1442 0.2790  0.2389     100
0.8300 50000   0.2033        -0.0060 -0.1205 0.1529  0.0942     100
1.6700  1000   0.0475        -0.0060 -1.3769 2.1363  1.6334     100
1.6700  2000   0.0475        -0.0060 -1.6533 2.2161  1.4757     100
1.6700  5000   0.0475        -0.0060 -1.4804 2.0010  1.3462     100
1.6700 10000   0.0475        -0.0060 -1.7150 2.1211  1.2481     100
1.6700 50000   0.0475        -0.0060 -1.4369 1.7183  0.9424     100
