  phi0  p_ident  true_phi_star   rmse    bias  mc_std  boot_se  coverage  ci_width  n_reps
0.0000   0.5000        -0.0060 2.1289  1.5327  1.4849   1.5693    0.9300    3.9472     100
0.1667   0.3694        -0.0060 2.1820  1.2754  1.7794   1.7119    0.9300    4.5644     100
0.3333   0.2525        -0.0060 2.4587  1.1493  2.1845   1.9770    0.9400    5.2173     100
0.5000   0.1587        -0.0060 2.3568  0.0311  2.3685   2.2105    0.9800    5.7854     100
0.6667   0.0912        -0.0060 2.6471 -0.6011  2.5909   2.2984    0.9500    5.7167     100
0.8333   0.0478        -0.0060 2.8452 -1.0238  2.6680   2.4657    0.9900    5.9129     100
1.0000   0.0228        -0.0060 2.8599 -1.5186  2.4355   2.3659    0.9800    5.8032     100
1.1667   0.0098        -0.0060 2.9351 -2.3905  1.7117   1.9227    0.8700    5.1670     100
1.3333   0.0038        -0.0060 2.9941 -2.9340  0.6000   1.4163    0.7300    4.1888     100
1.5000   0.0013        -0.0060 2.9943 -2.8140  1.0287   1.1151    0.5900    3.3037     100
