  phi0  p_ident  true_phi_star   rmse    bias  mc_std  boot_se  coverage  ci_width  n_reps
0.0000   0.5000        -0.0060 0.8552  0.2412  0.8246   0.9473    0.9800    2.6078     100
0.2778   0.3906        -0.0060 0.1120  0.0094  0.1122   0.6060    0.9300    1.9295     100
0.5556   0.2893        -0.0060 0.3235  0.0234  0.3242   0.3710    0.9200    1.1523     100
0.8333   0.2023        -0.0060 0.3405 -0.0167  0.3418   0.2620    0.8900    0.8377     100
1.1111   0.1333        -0.0060 0.2668 -0.1638  0.2116   0.2659    0.8400    0.9279     100
1.3889   0.0824        -0.0060 0.9573 -0.6511  0.7054   0.6327    0.5700    2.0281     100
1.6667   0.0478        -0.0060 2.2034 -1.9289  1.0705   0.8636    0.2200    2.4312     100
1.9444   0.0259        -0.0060 2.9186 -2.8848  0.4451   0.4866    0.0600    1.4035     100
2.2222   0.0131        -0.0060 2.9940 -2.9940  0.0000   0.2302    0.0100    0.5526     100
2.5000   0.0062        -0.0060 2.9940 -2.9940  0.0000   0.1221    0.0300    0.3778     100
