   phi0  p_ident  true_phi_star    bias   rmse  mc_std  mae_alpha  p_treat  n_reps
-2.5000   0.9938        -0.0060  0.9976 2.2470  2.0134    56.2614   0.9038     200
-2.2222   0.9869        -0.0060  1.3362 2.2465  1.8060    31.3034   0.8763     200
-1.9444   0.9741        -0.0060  1.3810 2.2187  1.7365    22.6198   0.8451     200
-1.6667   0.9522        -0.0060  1.4144 2.1856  1.6663    16.0988   0.8105     200
-1.3889   0.9176        -0.0060  1.4034 2.1245  1.5950    11.4356   0.7695     200
-1.1111   0.8667        -0.0060  1.1949 1.9397  1.5280     5.3325   0.7242     200
-0.8333   0.7977        -0.0060  0.8587 1.6343  1.3905     3.6105   0.6735     200
-0.5556   0.7107        -0.0060  0.4443 1.1648  1.0768     1.7725   0.6178     200
-0.2778   0.6094        -0.0060  0.3881 1.0843  1.0125     1.7899   0.5598     200
 0.0000   0.5000        -0.0060  0.0937 0.5216  0.5131     0.5477   0.5002     200
 0.2778   0.3906        -0.0060  0.0767 0.4765  0.4703     0.6227   0.4415     200
 0.5556   0.2893        -0.0060 -0.0060 0.0403  0.0398     0.3178   0.3837     200
 0.8333   0.2023        -0.0060 -0.0353 0.0582  0.0463     0.1871   0.3278     200
 1.1111   0.1333        -0.0060 -0.1171 0.1323  0.0617     0.2243   0.2767     200
 1.3889   0.0824        -0.0060 -0.3415 0.3575  0.1059     0.1770   0.2304     200
 1.6667   0.0478        -0.0060 -1.4093 1.5686  0.6888     0.1640   0.1895     200
 1.9444   0.0259        -0.0060 -2.9940 2.9940  0.0000     0.2054   0.1536     200
 2.2222   0.0131        -0.0060 -2.9940 2.9940  0.0000     0.2018   0.1234     200
 2.5000   0.0062        -0.0060 -2.9940 2.9940  0.0000     0.2993   0.0975     200
