   phi0  p_ident  true_phi_star    bias   rmse  mc_std  mae_alpha  p_treat  n_reps
-2.5000   0.9938        -0.0060  0.7867 2.2911  2.1518    40.1208   0.9036     200
-2.2222   0.9869        -0.0060  1.1531 2.2559  1.9389    20.5953   0.8790     200
-1.9444   0.9741        -0.0060  1.2864 2.2233  1.8133    15.1759   0.8472     200
-1.6667   0.9522        -0.0060  1.3564 2.2140  1.7499    12.9922   0.8088     200
-1.3889   0.9176        -0.0060  1.3225 2.1380  1.6798     9.3336   0.7678     200
-1.1111   0.8667        -0.0060  1.1830 1.9702  1.5754     5.7324   0.7214     200
-0.8333   0.7977        -0.0060  0.8197 1.6270  1.4054     4.0850   0.6668     200
-0.5556   0.7107        -0.0060  0.6183 1.3981  1.2540     2.6548   0.6122     200
-0.2778   0.6094        -0.0060  0.5951 1.3478  1.2093     1.8545   0.5586     200
 0.0000   0.5000        -0.0060  0.3855 1.0661  0.9940     1.1733   0.4924     200
 0.2778   0.3906        -0.0060  0.0239 0.2329  0.2317     0.6265   0.4352     200
 0.5556   0.2893        -0.0060 -0.0029 0.1125  0.1124     0.6023   0.3784     200
 0.8333   0.2023        -0.0060 -0.0199 0.2562  0.2554     0.4982   0.3218     200
 1.1111   0.1333        -0.0060 -0.1477 0.2534  0.2058     0.4193   0.2762     200
 1.3889   0.0824        -0.0060 -0.5313 0.7618  0.5458     0.4612   0.2306     200
 1.6667   0.0478        -0.0060 -1.7957 2.1274  1.1408     0.4346   0.1942     200
 1.9444   0.0259        -0.0060 -2.8214 2.8792  0.5741     0.4847   0.1600     200
 2.2222   0.0131        -0.0060 -2.9726 2.9805  0.2168     0.8194   0.1288     200
 2.5000   0.0062        -0.0060 -2.9940 2.9940  0.0000     1.3303   0.0996     200
